=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.09 17:39:54 =~=~=~=~=~=~=~=~=~=~=~=


-- TURN Dynamic Systems --
  TM4313 Miniature GPSDO

HV: 1.0.1
SV: 1.0.8
SD: May 14 2023, 23:45:34
SN: 25142891
SC: 100.000000MHz
AF: 19/73

Ph =        86, D =  548850, GL = 0, LOS = 0, ST =        60, AF =  19, RT = 104
Ph =         0, D =  548850, GL = 0, LOS = 1, ST =         0, AF =  19, RT = 105
Ph =         2, D =  548850, GL = 0, LOS = 1, ST =         1, AF =  19, RT = 106
Ph =         2, D =  548850, GL = 0, LOS = 1, ST =         2, AF =  19, RT = 107
Ph =         4, D =  548850, GL = 0, LOS = 1, ST =         3, AF =  19, RT = 108
Ph =         4, D =  548850, GL = 0, LOS = 1, ST =         4, AF =  19, RT = 109
Ph =         5, D =  548850, GL = 0, LOS = 1, ST =         5, AF =  19, RT = 110
Ph =         6, D =  548850, GL = 0, LOS = 1, ST =         6, AF =  19, RT = 111
Ph =         7, D =  548850, GL = 0, LOS = 1, ST =         7, AF =  19, RT = 112
Ph =         9, D =  548850, GL = 0, LOS = 1, ST =         8, AF =  19, RT = 113
Ph =         8, D =  548850, GL = 0, LOS = 1, ST =         9, AF =  19, RT = 114
Ph =        10, D =  548850, GL = 0, LOS = 1, ST =        10, AF =  19, RT = 115
Ph =        10, D =  548850, GL = 0, LOS = 1, ST =        11, AF =  19, RT = 116
Ph =        11, D =  548850, GL = 0, LOS = 1, ST =        12, AF =  19, RT = 117
Ph =        11, D =  548850, GL = 0, LOS = 1, ST =        13, AF =  19, RT = 118
Ph =        13, D =  548850, GL = 0, LOS = 1, ST =        14, AF =  19, RT = 119
Ph =        13, D =  548850, GL = 0, LOS = 1, ST =        15, AF =  19, RT = 120
Ph =        13, D =  548850, GL = 0, LOS = 1, ST =        16, AF =  19, RT = 121
Ph =        15, D =  548850, GL = 0, LOS = 1, ST =        17, AF =  19, RT = 122
Ph =        15, D =  548850, GL = 0, LOS = 1, ST =        18, AF =  19, RT = 123
Ph =        15, D =  548850, GL = 0, LOS = 1, ST =        19, AF =  19, RT = 124
Ph =        15, D =  548850, GL = 0, LOS = 1, ST =        20, AF =  19, RT = 125
Ph =        17, D =  548850, GL = 0, LOS = 1, ST =        21, AF =  19, RT = 126
Ph =        17, D =  548850, GL = 0, LOS = 1, ST =        22, AF =  19, RT = 127
Ph =        17, D =  548850, GL = 0, LOS = 1, ST =        23, AF =  19, RT = 128
Ph =        18, D =  548850, GL = 0, LOS = 1, ST =        24, AF =  19, RT = 129
Ph =        18, D =  548850, GL = 0, LOS = 1, ST =        25, AF =  19, RT = 130
Ph =        19, D =  548850, GL = 0, LOS = 1, ST =        26, AF =  19, RT = 131
Ph =        19, D =  548850, GL = 0, LOS = 1, ST =        27, AF =  19, RT = 132
Ph =        20, D =  548850, GL = 0, LOS = 1, ST =        28, AF =  19, RT = 133
Ph =        21, D =  548850, GL = 0, LOS = 1, ST =        29, AF =  19, RT = 134
Ph =        20, D =  548850, GL = 0, LOS = 1, ST =        30, AF =  19, RT = 135
Ph =        22, D =  548850, GL = 0, LOS = 1, ST =        31, AF =  19, RT = 136
Ph =        21, D =  548850, GL = 0, LOS = 1, ST =        32, AF =  19, RT = 137
Ph =        22, D =  548850, GL = 0, LOS = 1, ST =        33, AF =  19, RT = 138
Ph =        23, D =  548850, GL = 0, LOS = 1, ST =        34, AF =  19, RT = 139
Ph =        22, D =  548850, GL = 0, LOS = 1, ST =        35, AF =  19, RT = 140
Ph =        23, D =  548850, GL = 0, LOS = 1, ST =        36, AF =  19, RT = 141
Ph =        23, D =  548850, GL = 0, LOS = 1, ST =        37, AF =  19, RT = 142
Ph =        24, D =  548850, GL = 0, LOS = 1, ST =        38, AF =  19, RT = 143
Ph =        25, D =  548850, GL = 0, LOS = 1, ST =        39, AF =  19, RT = 144
Ph =        24, D =  548850, GL = 0, LOS = 1, ST =        40, AF =  19, RT = 145
Ph =        25, D =  548850, GL = 0, LOS = 1, ST =        41, AF =  19, RT = 146
Ph =        25, D =  548850, GL = 0, LOS = 1, ST =        42, AF =  19, RT = 147
Ph =        25, D =  548850, GL = 0, LOS = 1, ST =        43, AF =  19, RT = 148
Ph =        26, D =  548850, GL = 0, LOS = 1, ST =        44, AF =  19, RT = 149
Ph =        25, D =  548850, GL = 0, LOS = 1, ST =        45, AF =  19, RT = 150
Ph =        26, D =  548850, GL = 0, LOS = 1, ST =        46, AF =  19, RT = 151
Ph =        27, D =  548850, GL = 0, LOS = 1, ST =        47, AF =  19, RT = 152
Ph =        26, D =  548850, GL = 0, LOS = 1, ST =        48, AF =  19, RT = 153
Ph =        26, D =  548850, GL = 0, LOS = 1, ST =        49, AF =  19, RT = 154
Ph =        27, D =  548850, GL = 0, LOS = 1, ST =        50, AF =  19, RT = 155
Ph =        27, D =  548850, GL = 0, LOS = 1, ST =        51, AF =  19, RT = 156
